id,hindi_phrase,hindi_romanized,santali_phrase,category,notes
14,हर ग्रुप से एक छात्र आगे आकर अपनी बात रखेगा।,har group se ek chhatra aage aakar apni baat rakhega,ᱡᱚᱛᱚ ᱜᱩᱴ ᱠᱷᱚᱱ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱞᱟᱦᱟ ᱦᱮᱡ ᱠᱟᱛᱮ ᱟᱡᱟᱜ ᱠᱟᱛᱷᱟᱭ ᱫᱚᱦᱚᱭᱟ ᱾,instruction,unverified
15,आपस में मिलकर काम को पूरा कीजिए।,aapas mein milkar kaam ko pura kijiye,ᱟᱯᱟᱱᱼᱟᱹᱯᱤᱱ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱯᱮ,encouragement,unverified
16,बहुत बढ़िया! आपने बहुत अच्छा प्रयास किया।,bahut badhiya aapne bahut accha prayas kiya,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ! ᱟᱢ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱠᱮᱫᱟ ᱾,praise,unverified
17,क्या कोई इस उत्तर को थोड़ा और सुधार सकता है?,kya koi is uttar ko thoda aur sudhar sakta hai,ᱱᱚᱣᱟ ᱞᱟᱹᱱᱟᱹᱭ ᱪᱮᱫ ᱡᱟᱦᱟᱸᱭ ᱟᱨᱦᱚᱸ ᱠᱟᱹᱡ ᱮᱢ ᱥᱩᱫᱷᱨᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,encouragement,unverified
18,आपका विचार बहुत अलग और अच्छा है।,aapka vichar bahut alag aur accha hai,ᱟᱢᱟᱜ ᱦᱩᱫᱤᱥ ᱟᱹᱰᱤ ᱵᱷᱮᱜᱟᱨ ᱟᱨ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ ᱾,praise,unverified
19,"घबराइए मत, दोबारा कोशिश कीजिए।",ghabraiye mat dobara koshish kijiye,"ᱟᱞᱚᱢ ᱵᱚᱛᱚᱨᱚᱜᱼᱟ, ᱟᱨᱦᱚᱸ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱢᱮ ᱾",encouragement,unverified
20,अपना हाथ उठाइए अगर आपको कोई शंका है।,apna hath uthaiye agar aapko koi shanka hai,"ᱡᱩᱫᱤ ᱟᱢᱟᱜ ᱪᱮᱫ ᱦᱚᱸ ᱥᱟᱸᱥᱚᱭ ᱢᱮᱱᱟᱜᱼᱟ, ᱛᱚᱵᱮ ᱛᱤ ᱛᱩᱞᱮᱢᱮ ᱾",encouragement,unverified
21,क्या बाकी सबको यह बात समझ आ गई?,kya baaki sabko yeh baat samajh aa gayi,ᱪᱮᱫ ᱵᱟᱹᱠᱤ ᱡᱚᱛᱚ ᱦᱚᱲ ᱱᱚᱣᱟ ᱠᱟᱛᱷᱟ ᱯᱮ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱟ?,questioning,unverified
22,आज का होमवर्क डायरी में नोट कर लीजिए।,aaj ka homework diary mein note kar lijiye,ᱛᱮᱦᱮᱧᱟᱜ ᱦᱚᱢᱳᱣᱟᱨᱠ ᱰᱟᱭᱨᱤ ᱨᱮ ᱚᱞ ᱯᱮ ᱾,instruction,unverified
23,जाते समय अपनी डेस्क को साफ़ करके जाएं।,jaate samay apni desk ko saaf karke jaayen,ᱪᱟᱞᱟᱜ ᱡᱚᱦᱚᱜ ᱟᱯᱮᱭᱟᱜ ᱰᱮᱥᱠ ᱥᱟᱯᱷᱟ ᱠᱟᱛᱮ ᱪᱟᱞᱟᱜ ᱯᱮ ᱾,instruction,unverified
24,"आपका दिन शुभ हो, कल मिलते हैं।",aapka din shubh ho kal milte hain,"ᱟᱢᱟᱜ/ᱟᱯᱮᱭᱟᱜ ᱫᱤᱱ ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱱ ᱢᱟ, ᱜᱟᱯᱟ ᱵᱚᱱ ᱧᱟᱯᱟᱢᱟ ᱾",greeting,unverified
25,कल हम इसके आगे का पाठ पढ़ेंगे।,kal hum iske aage ka paath padhenge,ᱜᱟᱯᱟ ᱵᱚᱱ ᱱᱚᱣᱟ ᱨᱮᱱᱟᱜ ᱞᱟᱦᱟ ᱥᱮᱫᱟᱜ ᱯᱟᱴᱷ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣᱟ ᱾,instruction,unverified
26,यहाँ ध्यान दें।,yahan dhyan den,ᱱᱚᱰᱮ ᱫᱷᱮᱭᱟᱱ ᱮᱢ ᱯᱮ ᱾,instruction,unverified
27,कौन बताएगा?,kaun bataega,ᱚᱠᱚᱭ ᱮ ᱞᱟᱹᱭᱟ?,questioning,unverified
28,बोर्ड साफ़ करो।,board saaf karo,ᱵᱚᱨᱰ ᱥᱟᱯᱷᱟᱭ ᱢᱮ ᱾,instruction,unverified
29,सीधे बैठिए।,seedhe baithiye,ᱥᱚᱡᱷᱮ ᱫᱩᱲᱩᱵ ᱢᱮ ᱾,instruction,unverified
30,एक,ek,ᱢᱤᱫ,number,unverified
31,दो,do,ᱵᱟᱨ,number,unverified
32,तीन,teen,ᱯᱮ,number,unverified
33,चार,chaar,ᱯᱳᱱ,number,unverified
34,पाँच,paanch,ᱢᱳᱬᱮ,number,unverified
35,छह,chhah,ᱛᱩᱨᱩᱭ,number,unverified
36,सात,saat,ᱮᱭᱟᱭ,number,unverified
37,आठ,aath,ᱤᱨᱟᱹᱞ,number,unverified
38,नौ,nau,ᱟᱨᱮ,number,unverified
39,दस,das,ᱜᱮᱞ,number,unverified
40,ग्यारह,gyarah,ᱜᱮᱞ ᱢᱤᱫ,number,unverified
41,पंद्रह,pandrah,ᱜᱮᱞ ᱢᱳᱬᱮ,number,unverified
42,बीस,bees,ᱵᱟᱨ ᱜᱮᱞ,number,unverified
43,धन्यवाद,dhanyavad,ᱥᱟᱨᱦᱟᱣ,greeting,unverified
44,स्वागत है,swagat hai,ᱫᱟᱨᱟᱢ,greeting,unverified
45,माफ़ कीजिए,maaf kijiye,ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ ᱾,greeting,unverified
46,क्षमा करें,kshama karen,ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ ᱾,greeting,unverified
47,इन्हें जोड़ें,inhen joden,ᱱᱚᱣᱟᱠᱳ ᱢᱮᱥᱟ ᱢᱮ ᱾,instruction,unverified
48,इन्हें घटाएं,inhen ghatayen,ᱱᱚᱣᱟᱠᱳ ᱵᱷᱮᱜᱟᱨ ᱢᱮ ᱾,instruction,unverified
49,गिनें,ginen,ᱞᱮᱠᱷᱟ ᱢᱮ ᱾,instruction,unverified
50,आपका नाम क्या है?,aapka naam kya hai,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?,questioning,unverified
51,अपना गृहकार्य कल जमा करें,apna grihkarya kal jama karen,ᱜᱟᱯᱟ ᱟᱢᱟᱜ ᱦᱚᱢᱳᱣᱟᱨᱠ ᱡᱚᱢᱟ ᱢᱮ ᱾,instruction,unverified
52,जल्दी करो,jaldi karo,ᱦᱚᱯᱚᱱ ᱛᱮ ᱢᱮ / ᱞᱚᱜᱚᱱ ᱢᱮ ᱾,instruction,unverified
53,जाओ पानी पी लो,jao paani pi lo,ᱪᱟᱞᱟᱜ ᱢᱮ ᱟᱨ ᱫᱟᱜ ᱧᱩᱭ ᱢᱮ ᱾,instruction,unverified
54,कक्षा के अंदर मत सोओ,kaksha ke andar mat soo,ᱠᱞᱟᱥ ᱵᱷᱤᱛᱤᱨ ᱨᱮ ᱟᱞᱚᱢ ᱡᱟᱹᱯᱤᱫᱟ ᱾,instruction,unverified
55,धीरे बोलें,dheere bolen,ᱵᱟᱹᱭᱼᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ ᱾,instruction,unverified
56,ज़ोर से बोलें,zor se bolen,ᱠᱮᱴᱮᱡ ᱛᱮ ᱨᱚᱲ ᱢᱮ ᱾,instruction,unverified
